roundID,score,movesExec,movesConsid,runtime
1040,16,106,151,0.000350292
1041,22,189,283,0.000572083
1042,36,355,536,0.0011265
1043,29,248,345,0.000853125
1044,45,442,686,0.00174362
1045,44,511,911,0.00166088
1046,39,380,581,0.00116233
1047,43,377,591,0.00142121
1048,27,204,271,0.0006035
1049,26,206,288,0.000659208
1050,24,175,252,0.000504833
1051,22,196,297,0.000536792
1052,22,165,223,0.000525041
1053,31,305,493,0.00105304
1054,41,340,514,0.00109858
1055,31,292,468,0.000981084
1056,22,178,214,0.000585917
1057,32,319,525,0.001116
1058,17,152,208,0.000473708
1059,42,468,786,0.00170158
1060,32,367,612,0.00113054
1061,28,265,349,0.000806791
1062,37,392,684,0.00133954
1063,39,501,944,0.00166829
1064,39,335,485,0.00108608
1065,45,505,867,0.00198792
1066,24,222,331,0.000813333
1067,42,508,930,0.00172821
1068,28,310,467,0.000920375
1069,32,325,538,0.00101567
1070,35,352,531,0.00117446
1071,41,483,832,0.00153425
1072,55,645,1072,0.0024675
1073,41,367,565,0.0013005
1074,39,378,603,0.00182196
1075,20,166,242,0.000460084
1076,21,179,256,0.000537292
1077,38,358,567,0.00126
1078,33,359,535,0.00119675
1079,16,151,241,0.000442625
1080,21,194,245,0.00062075
1081,36,391,759,0.00116454
1082,28,270,426,0.000764083
1083,37,376,612,0.00126829
1084,22,212,338,0.000631375
1085,12,108,145,0.000294042
1086,25,228,312,0.000702583
1087,32,343,527,0.00133833
1088,25,235,370,0.000822875
1089,38,304,430,0.0011155
1090,36,366,537,0.00139821
1091,19,139,186,0.000455625
1092,26,253,399,0.000839208
1093,36,341,562,0.00137912
1094,15,137,174,0.000367334
1095,34,325,508,0.00108246
1096,26,179,302,0.000684166
1097,26,227,380,0.0007355
1098,33,331,513,0.00106867
1099,33,374,536,0.00115167
1100,21,159,223,0.000485
1101,19,149,185,0.000431667
1102,39,419,654,0.00144437
1103,37,374,594,0.00111204
1104,40,379,626,0.00141208
1105,28,247,394,0.000819292
1106,39,381,540,0.00130221
1107,27,292,439,0.000958125
